v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat
7114,Op en cemento armado,7. Trabajadores de oficios,Blue-collar workers
7115,Carpinteros de armar y de obra blanca,7. Trabajadores de oficios,Blue-collar workers
7119,Of. Y op. Construcción,7. Trabajadores de oficios,Blue-collar workers
7120,Of. Y op. Construcción,7. Trabajadores de oficios,Blue-collar workers
7121,Techadores,7. Trabajadores de oficios,Blue-collar workers
7122,Parqueteros y colocadores de suelos,7. Trabajadores de oficios,Blue-collar workers
7123,Revocadores,7. Trabajadores de oficios,Blue-collar workers
7124,Innst. material aislante y de insonorización,7. Trabajadores de oficios,Blue-collar workers
7125,Cristaleros,7. Trabajadores de oficios,Blue-collar workers
7126,Fontaneros e instaladores de tuberías,7. Trabajadores de oficios,Blue-collar workers
7127,Méc. Refrigreación,7. Trabajadores de oficios,Blue-collar workers
7130,"Pintores, limpiadores de fachadas y afines",7. Trabajadores de oficios,Blue-collar workers
7131,Pintores y empapeladores,7. Trabajadores de oficios,Blue-collar workers
7132,Barnizadores y afines,7. Trabajadores de oficios,Blue-collar workers
7133,Limpiadores de fachadas y deshollinadores,7. Trabajadores de oficios,Blue-collar workers
7200,Of. Y op. Metalurgia,7. Trabajadores de oficios,Blue-collar workers
7210,"Moldeadores, soldadores, chapistas, caldereros, montadores de estructuras metálicas y afines",7. Trabajadores de oficios,Blue-collar workers
7211,Moldeadores y macheros,7. Trabajadores de oficios,Blue-collar workers
7212,Soldadores y oxicortadores,7. Trabajadores de oficios,Blue-collar workers
7213,Chapistas y caldereros,7. Trabajadores de oficios,Blue-collar workers
7214,Montadores de estructuras metálicas,7. Trabajadores de oficios,Blue-collar workers
7215,Aparejadores y empalmadores de cables,7. Trabajadores de oficios,Blue-collar workers
7220,"Herreros, herramentistas y afines",7. Trabajadores de oficios,Blue-collar workers
7221,Herreros y forjadores,7. Trabajadores de oficios,Blue-collar workers
7222,Herramentistas y afines,7. Trabajadores de oficios,Blue-collar workers
7223,Reg. Y Op. máquinas herramientas,7. Trabajadores de oficios,Blue-collar workers
7224,Pulidores de metales y afiladores de herramientas,7. Trabajadores de oficios,Blue-collar workers
7230,Méc y rep. Maquinaria,7. Trabajadores de oficios,Blue-collar workers
7231,Mec. Vehículos de motor,7. Trabajadores de oficios,Blue-collar workers
7232,Méc y re. Motores de avión,7. Trabajadores de oficios,Blue-collar workers
7233,Méc. Maq. Agrícola,7. Trabajadores de oficios,Blue-collar workers
7234,Rep. Bicicletas y afines,7. Trabajadores de oficios,Blue-collar workers
7300,Art. Y Op. Artes gráficas,7. Trabajadores de oficios,Blue-collar workers
7310,Artesanos,7. Trabajadores de oficios,Blue-collar workers
7311,Méc. Y rep. Instrumentos de presición,7. Trabajadores de oficios,Blue-collar workers
7312,Fab. Y afi. Inst musicales,7. Trabajadores de oficios,Blue-collar workers
7313,"Joyeros, orfebres y plateros",7. Trabajadores de oficios,Blue-collar workers
7314,"Alfareros y afines (barro, arcilla y abrasivos)",7. Trabajadores de oficios,Blue-collar workers
7315,"Sopladores, modeladores, laminadores, cortadores y pulidores de vidrio",7. Trabajadores de oficios,Blue-collar workers
7316,"Redactores de carteles, pintores decorativos y grabadores",7. Trabajadores de oficios,Blue-collar workers
7317,"Artesano madera, cestería y materiales similares",7. Trabajadores de oficios,Blue-collar workers
7318,"Artesano tejidos, el cuero y materiales similares",7. Trabajadores de oficios,Blue-collar workers
7319,Artesanon/c,7. Trabajadores de oficios,Blue-collar workers
7320,Of. Y Op. Art gráficas,7. Trabajadores de oficios,Blue-collar workers
7321,"Cajistas, tipógrafos y afines",7. Trabajadores de oficios,Blue-collar workers
7322,Impresores,7. Trabajadores de oficios,Blue-collar workers
7323,Encuadernadores y afines,7. Trabajadores de oficios,Blue-collar workers
7400,Trab. electricidad y la elecrotecnología,7. Trabajadores de oficios,Blue-collar workers
7410,Inst. y rep. electricos,7. Trabajadores de oficios,Blue-collar workers
7411,Electricistas de obras y afines,7. Trabajadores de oficios,Blue-collar workers
7412,Méc. Electricistas,7. Trabajadores de oficios,Blue-collar workers
7413,Inst. y rep líneas eléctricas,7. Trabajadores de oficios,Blue-collar workers
7420,Inst. y rep electrónicos y telecomunicaciones,7. Trabajadores de oficios,Blue-collar workers
7421,Méc. Y rep. Electrónicos,7. Trabajadores de oficios,Blue-collar workers
7422,Inst. y rep IT,7. Trabajadores de oficios,Blue-collar workers
7500,Op. Proces alimentos,7. Trabajadores de oficios,Blue-collar workers
7510,Of. Y Op elab alimentos,7. Trabajadores de oficios,Blue-collar workers
7511,"Carniceros, pescaderos y afines",7. Trabajadores de oficios,Blue-collar workers
7512,"Panaderos, pasteleros y confiteros",7. Trabajadores de oficios,Blue-collar workers
7513,Op. Elab. Lácteos,7. Trabajadores de oficios,Blue-collar workers
7514,Op. Cons. Frutas y vegetales,7. Trabajadores de oficios,Blue-collar workers
7515,Catadores y clasificadores de alimentos y bebidas,7. Trabajadores de oficios,Blue-collar workers
7516,Elab. Tábaco,7. Trabajadores de oficios,Blue-collar workers
7520,Of. Y Op. Madera,7. Trabajadores de oficios,Blue-collar workers
7521,Op. Trat. Madera,7. Trabajadores de oficios,Blue-collar workers
7522,Ebanistas y afines,7. Trabajadores de oficios,Blue-collar workers
7523,Reg. Y op. máquinas de labrar madera,7. Trabajadores de oficios,Blue-collar workers
7530,Of. Y Op. Confección,7. Trabajadores de oficios,Blue-collar workers
7531,"Sastres, modistos, peleteros y sombrereros",7. Trabajadores de oficios,Blue-collar workers
7532,Patronistas y cortadores de tela y afines,7. Trabajadores de oficios,Blue-collar workers
7533,"Costureros, bordadores y afines",7. Trabajadores de oficios,Blue-collar workers
7534,"Tapiceros, colchoneros y afines",7. Trabajadores de oficios,Blue-collar workers
7535,"Apelambradores, pellejeros y curtidores",7. Trabajadores de oficios,Blue-collar workers
7536,Zapateros y afines,7. Trabajadores de oficios,Blue-collar workers
7540,Of. Y Op. n/c,7. Trabajadores de oficios,Blue-collar workers
7541,Buzos,7. Trabajadores de oficios,Blue-collar workers
7542,Dinamiteros y pegadores,7. Trabajadores de oficios,Blue-collar workers
7543,Clasificadores y probadores de productos (excluyendo alimentos y bebidas),7. Trabajadores de oficios,Blue-collar workers
7544,Fumigadores y otros controladores de plagas y malas hierbas,7. Trabajadores de oficios,Blue-collar workers
7549,Of. Y Op. Mecánicos,7. Trabajadores de oficios,Blue-collar workers
8000,Op. Maquinas y ensambladores,8. Operarios calificados,Blue-collar workers
8100,Op. Inst y maquinaria,8. Operarios calificados,Blue-collar workers
8110,Op. Inst minería,8. Operarios calificados,Blue-collar workers
8111,Mineros y operadores de instalaciones mineras,8. Operarios calificados,Blue-collar workers
8112,Op. Proces minerales,8. Operarios calificados,Blue-collar workers
8113,Perforadores y sondistas de pozos y afines,8. Operarios calificados,Blue-collar workers
8114,Op. Maq. Cemento,8. Operarios calificados,Blue-collar workers
8120,Op. Proces metales,8. Operarios calificados,Blue-collar workers
8121,Op. proces metales,8. Operarios calificados,Blue-collar workers
8122,Op. Pulidoras y rec. Metales,8. Operarios calificados,Blue-collar workers
8130,Op. Prod químicos y fotográficos,8. Operarios calificados,Blue-collar workers
8131,Op. Plant químicas,8. Operarios calificados,Blue-collar workers
8132,Op. Maq fotográficos,8. Operarios calificados,Blue-collar workers
8140,Op. Maq. Caucho y afines,8. Operarios calificados,Blue-collar workers
8141,Op. Maq. Caucho,8. Operarios calificados,Blue-collar workers
8142,Op. Maq. Plástico,8. Operarios calificados,Blue-collar workers
8143,Op. Maq papel,8. Operarios calificados,Blue-collar workers
8150,Op. Prod textiles,8. Operarios calificados,Blue-collar workers
8151,Op. Maq. Fibras y tejidos,8. Operarios calificados,Blue-collar workers
8152,Op. Telares y maq. Coser,8. Operarios calificados,Blue-collar workers
8153,Op. Maq coser,8. Operarios calificados,Blue-collar workers
8154,Op. Limpieza tejidos,8. Operarios calificados,Blue-collar workers
8155,Op. Maq de cuero y pieles,8. Operarios calificados,Blue-collar workers
8156,Op. Maq. Calzado,8. Operarios calificados,Blue-collar workers
8157,Op. Maq. Lavarropas,8. Operarios calificados,Blue-collar workers
8159,Op. Prod. Textiles,8. Operarios calificados,Blue-collar workers
8160,Op. Maq. Alimentos y bebidas,8. Operarios calificados,Blue-collar workers
8170,Op. Inst papel y madera,8. Operarios calificados,Blue-collar workers
8171,Op. Pasta de papel y celulosa,8. Operarios calificados,Blue-collar workers
8172,Op. Proces madera,8. Operarios calificados,Blue-collar workers
8180,Op. Maquinaria n/c,8. Operarios calificados,Blue-collar workers
8181,Op. Vidriería y cerámica,8. Operarios calificados,Blue-collar workers
8182,Op. Maq vapor y calderas,8. Operarios calificados,Blue-collar workers
8183,Op. Maq. Embalaje,8. Operarios calificados,Blue-collar workers
8189,Op maq. n/c,8. Operarios calificados,Blue-collar workers
8200,Ensambladores,8. Operarios calificados,Blue-collar workers
8210,Ensambladores,8. Operarios calificados,Blue-collar workers
8211,Ensambladores de maquinaria mecánica,8. Operarios calificados,Blue-collar workers
8212,Ensambladores de equipos eléctricos y electrónicos,8. Operarios calificados,Blue-collar workers
8219,Ensambladores no clasificados bajo otros epígrafes,8. Operarios calificados,Blue-collar workers
8300,Cond. equip. pesados móviles,8. Operarios calificados,Blue-collar workers
8310,Maq. Locomotoras,8. Operarios calificados,Blue-collar workers
8311,Mar. Locomotoras,8. Operarios calificados,Blue-collar workers
8312,"Guardafrenos, guardagujas y agentes de maniobras",8. Operarios calificados,Blue-collar workers
8320,"Cond. automóviles, camionetas y motocicletas",8. Operarios calificados,Blue-collar workers
8321,Cond. motocicletas,8. Operarios calificados,Blue-collar workers
8322,"Cond. autom. y camionetas",8. Operarios calificados,Blue-collar workers
8330,Cond. camiones pesados y autobuses,8. Operarios calificados,Blue-collar workers
8331,Cond. autobuses y tranvías,8. Operarios calificados,Blue-collar workers
8332,Cond. camiones pesados,8. Operarios calificados,Blue-collar workers
8340,Op. Equip. Pesados,8. Operarios calificados,Blue-collar workers
8341,Op. Maq agrícola forestal,8. Operarios calificados,Blue-collar workers
8342,Op. Mov tierra,8. Operarios calificados,Blue-collar workers
8343,Op. Grúas y equipos móviles,8. Operarios calificados,Blue-collar workers
8344,Op. Autoelevadoras,8. Operarios calificados,Blue-collar workers
8350,Mariners,8. Operarios calificados,Blue-collar workers
9000,Oc. Elementales n/c,9. Operarios no calificados,Blue-collar workers
9100,Limpiadores y asistentes,9. Operarios no calificados,Blue-collar workers
9110,Limp. Domésticos y oficinas,9. Operarios no calificados,Blue-collar workers
9111,Limp. Doméstica,9. Operarios no calificados,Blue-collar workers
9112,"Limp. Oficinas y hoteles",9. Operarios no calificados,Blue-collar workers
9120,Limpiadores gral.,9. Operarios no calificados,Blue-collar workers
9121,Lavadores y planchadores,9. Operarios no calificados,Blue-collar workers
9122,Lav. Vehículos,9. Operarios no calificados,Blue-collar workers
9123,Lav. Ventanas,9. Operarios no calificados,Blue-collar workers
9129,Limpieza n/c,9. Operarios no calificados,Blue-collar workers
9200,"Peones agropecuarios, pesqueros y forestales",9. Operarios no calificados,Blue-collar workers
9210,"Peones agropecuarios, pesqueros y forestales",9. Operarios no calificados,Blue-collar workers
9211,Peones agrícolas,9. Operarios no calificados,Blue-collar workers
9212,Peones ganaderos,9. Operarios no calificados,Blue-collar workers
9213,Peones agrícolas mixtos,9. Operarios no calificados,Blue-collar workers
9214,Peones de jardinería y horticultura,9. Operarios no calificados,Blue-collar workers
9215,Peones forestales,9. Operarios no calificados,Blue-collar workers
9216,Peones pesca,9. Operarios no calificados,Blue-collar workers
9300,"Peones ind, min y construcción",9. Operarios no calificados,Blue-collar workers
9310,Peons minería y la construcción,9. Operarios no calificados,Blue-collar workers
9311,Peones minas y canteras,9. Operarios no calificados,Blue-collar workers
9312,Peones obras públicas y mantenimiento,9. Operarios no calificados,Blue-collar workers
9313,Peones construcción,9. Operarios no calificados,Blue-collar workers
9320,Peones ind. Manufactoruera,9. Operarios no calificados,Blue-collar workers
9321,Empacadores manuales,9. Operarios no calificados,Blue-collar workers
9329,Peones ind. Manufactoruera,9. Operarios no calificados,Blue-collar workers
9330,Peones transporte,9. Operarios no calificados,Blue-collar workers
9331,Cond. vehículos accionados a pedal o a brazo,9. Operarios no calificados,Blue-collar workers
9332,Cond. tracc. animal,9. Operarios no calificados,Blue-collar workers
9333,Peones de carga,9. Operarios no calificados,Blue-collar workers
9334,Reponedores de estanterías,9. Operarios no calificados,Blue-collar workers
9400,Ay. prep. alimentos,9. Operarios no calificados,Blue-collar workers
9410,Ay. prep. alimentos,9. Operarios no calificados,Blue-collar workers
9411,Cocin. com. rápida,9. Operarios no calificados,Blue-collar workers
9412,Ay. de cocina,9. Operarios no calificados,Blue-collar workers
9500,Vend. ambulantes de servicios y afines,9. Operarios no calificados,Blue-collar workers
9510,Trab. ambulantes de servicios y afines,9. Operarios no calificados,Blue-collar workers
9520,Vend. ambulantes (excluyendo de comida),9. Operarios no calificados,Blue-collar workers
9600,Rec. Desechos,9. Operarios no calificados,Blue-collar workers
9610,Rec. Desechos y clasificadores,9. Operarios no calificados,Blue-collar workers
9611,Recol. Basura y mat reciclable,9. Operarios no calificados,Blue-collar workers
9612,Clas. de desechos,9. Operarios no calificados,Blue-collar workers
9613,Barrenderos y afines,9. Operarios no calificados,Blue-collar workers
9620,Oc. elementales n/c,9. Operarios no calificados,Blue-collar workers
9621,"Mensajeros, mandaderos, maleteros y repartidores",9. Operarios no calificados,Blue-collar workers
9622,Trabajos varios,9. Operarios no calificados,Blue-collar workers
9623,Rec. Dinero,9. Operarios no calificados,Blue-collar workers
9624,Acarreadores de agua y recolectores de leña,9. Operarios no calificados,Blue-collar workers
9629,Oc. Elementales,9. Operarios no calificados,Blue-collar workers
