v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat
2265,Dietistas y nutricionistas,2. Profesionales,White-collar workers
2266,Audiólogos y logopedas,2. Profesionales,White-collar workers
2267,Optometristas,2. Profesionales,White-collar workers
2269,Prof. Salud n/c,2. Profesionales,White-collar workers
2300,General Education Teacher,2. Profesionales,White-collar workers
2310,Prof. Universitarios y ed superior,2. Profesionales,White-collar workers
2320,Prof. Form. Profesional,2. Profesionales,White-collar workers
2330,Prof. Secundarios,2. Profesionales,White-collar workers
2340,Maest. Primaria y preescolar,2. Profesionales,White-collar workers
2341,Maest. Primaria,2. Profesionales,White-collar workers
2342,Maest. Preescolar,2. Profesionales,White-collar workers
2350,Prof. Enseñanza,2. Profesionales,White-collar workers
2351,Esp. Mét. Pedagógicos,2. Profesionales,White-collar workers
2352,Ed. Nec. Especiales,2. Profesionales,White-collar workers
2353,Profesores idiomas,2. Profesionales,White-collar workers
2354,Profesores música,2. Profesionales,White-collar workers
2355,Profesores arte,2. Profesionales,White-collar workers
2356,Inst. IT,2. Profesionales,White-collar workers
2359,Prof. enseñanza,2. Profesionales,White-collar workers
2400,Esp. Admin pública,2. Profesionales,White-collar workers
2410,Esp. Finanzas,2. Profesionales,White-collar workers
2411,Contables,2. Profesionales,White-collar workers
2412,Asesores financieros y en inversiones,2. Profesionales,White-collar workers
2413,An. financieros,2. Profesionales,White-collar workers
2420,Esp. Org y adm.,2. Profesionales,White-collar workers
2421,An. gestión y organización,2. Profesionales,White-collar workers
2422,Esp. Pol. Administración,2. Profesionales,White-collar workers
2423,Esp. Pol. Y serv. Personal,2. Profesionales,White-collar workers
2424,Esp. Formación personal,2. Profesionales,White-collar workers
2430,"Prof. Venta, comercialización",2. Profesionales,White-collar workers
2431,Prof. Publicidad y marketing,2. Profesionales,White-collar workers
2432,Prof. Rel. Públicas,2. Profesionales,White-collar workers
2433,Prof. Ventas médicas,2. Profesionales,White-collar workers
2434,Prof. Ventas IT,2. Profesionales,White-collar workers
2500,Profesionales IT,2. Profesionales,White-collar workers
2510,Des. Y An. Software,2. Profesionales,White-collar workers
2511,An. de sistemas,2. Profesionales,White-collar workers
2512,Des. software,2. Profesionales,White-collar workers
2513,Des. Web y multimedia,2. Profesionales,White-collar workers
2514,Programadores,2. Profesionales,White-collar workers
2519,Des. Y An. Software,2. Profesionales,White-collar workers
2520,Esp. Bases de datos,2. Profesionales,White-collar workers
2521,Adm. Base de datos,2. Profesionales,White-collar workers
2522,Admin. sistemas,2. Profesionales,White-collar workers
2523,Prof. Redes informáticas,2. Profesionales,White-collar workers
2529,Esp. Bases de datos,2. Profesionales,White-collar workers
2600,"Prof. Derecho, Cs Sociales",2. Profesionales,White-collar workers
2610,Prof. Derecho,2. Profesionales,White-collar workers
2611,Abogados,2. Profesionales,White-collar workers
2612,Jueces,2. Profesionales,White-collar workers
2619,Prof. Derecho n/c,2. Profesionales,White-collar workers
2620,"Archivistas, bibliotecarios, curadores y afines",2. Profesionales,White-collar workers
2621,Archivistas y curadores de museos,2. Profesionales,White-collar workers
2622,"Bibliotecarios, documentalistas y afines",2. Profesionales,White-collar workers
2630,Esp. cs. Sociales,2. Profesionales,White-collar workers
2631,Economistas,2. Profesionales,White-collar workers
2632,"Sociólogos, antropólogos y afines",2. Profesionales,White-collar workers
2633,"Filósofos, historiadores y especialistas en ciencias políticas",2. Profesionales,White-collar workers
2634,Psicólogos,2. Profesionales,White-collar workers
2635,Prof. Trabajo social,2. Profesionales,White-collar workers
2636,Prof. Religiosos,2. Profesionales,White-collar workers
2640,Aut. periodistas y lingüistas,2. Profesionales,White-collar workers
2641,Aut. escritores,2. Profesionales,White-collar workers
2642,Periodistas,2. Profesionales,White-collar workers
2643,"Traductores, intérpretes y lingüistas",2. Profesionales,White-collar workers
2650,Artistas creativos e interpretativos,2. Profesionales,White-collar workers
2651,Artistaplásticos,2. Profesionales,White-collar workers
2652,"Músicos, cantantes y compositores",2. Profesionales,White-collar workers
2653,Bailarines y coreógrafos,2. Profesionales,White-collar workers
2654,Dir. cine teatro,2. Profesionales,White-collar workers
2655,Actores,2. Profesionales,White-collar workers
2656,"Locutores de radio, televisión y otros med.s de comunicación",2. Profesionales,White-collar workers
2659,Artistas creativos e interpretativos no clasificados bajo otros epígrafes,2. Profesionales,White-collar workers
3000,Téc. Y prof. N. Medio. mediop,3. Técnicos,White-collar workers
3100,Prof. med. ciencia e ingeniería,3. Técnicos,White-collar workers
3110,Téc. Cs. Físicas e ingeniería,3. Técnicos,White-collar workers
